"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIL_280071",0.892831971690092,3.47876825750255,4.85162585586234,0.717031436646967,0.473354699489208,NA
"NPIL_442101",0,NA,NA,NA,NA,NA
"NPIL_568881",1.78566394338018,4.46604861503361,4.5400680525283,0.98369640352561,0.325264808681505,NA
"NPIL_568891",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_568901",0,NA,NA,NA,NA,NA
"NPIL_395131",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_198291",0,NA,NA,NA,NA,NA
"NPIL_198301",0,NA,NA,NA,NA,NA
"NPIL_546231",0,NA,NA,NA,NA,NA
"NPIL_546233",0.947911795066664,1.67011000642815,4.85892027198363,0.343720397319121,0.73105656995021,NA
"NPIL_546241",1.00299161844324,0.252642735067618,4.78166850575575,0.0528356858622693,0.957862827992249,NA
"NPIL_546232",0.892831971690092,3.47876825750255,4.85162585586234,0.717031436646967,0.473354699489208,NA
"NPIL_546261",0,NA,NA,NA,NA,NA
"NPIL_516461",0.814871845855777,-0.25242345046114,4.84144341640667,-0.0521380565154863,0.958418689474866,NA
"NPIL_321321",0,NA,NA,NA,NA,NA
"NPIL_527401",0,NA,NA,NA,NA,NA
"NPIL_65061",0,NA,NA,NA,NA,NA
"NPIL_65071",0,NA,NA,NA,NA,NA
"NPIL_369341",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_369351",0,NA,NA,NA,NA,NA
"NPIL_369361",9.30232368287197,-0.430262244798428,2.80002491412396,-0.153663720143377,0.877874892091537,NA
"NPIL_369371",0,NA,NA,NA,NA,NA
"NPIL_110931",1.80647537551416,0.676583284230037,3.69018166928464,0.183346876892702,0.854525855296869,NA
"NPIL_641141",1.12647818940468,1.98503318041534,4.84286666258342,0.409888051585633,0.681888070680195,NA
"NPIL_641151",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_641161",2.83040846099169,0.0652146443427065,3.53797744075097,0.0184327473633817,0.98529362825824,NA
"NPIL_641171",0,NA,NA,NA,NA,NA
"NPIL_641181",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_590601",0.824425224105216,-0.294971427640959,4.82842739690849,-0.0610905794772477,0.9512870716271,NA
"NPIL_461401",0,NA,NA,NA,NA,NA
"NPIL_676481",0,NA,NA,NA,NA,NA
"NPIL_320551",0,NA,NA,NA,NA,NA
"NPIL_320561",0,NA,NA,NA,NA,NA
"NPIL_320571",0,NA,NA,NA,NA,NA
"NPIL_320581",0,NA,NA,NA,NA,NA
"NPIL_258061",0.391271145018322,2.12603664717438,4.94285112914374,0.430123544413258,0.667105774011517,NA
"NPIL_258071",0.892831971690092,3.47876825750255,4.85162585586234,0.717031436646967,0.473354699489208,NA
"NPIL_570731",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_490201",0,NA,NA,NA,NA,NA
"NPIL_686831",0,NA,NA,NA,NA,NA
"NPIL_686841",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_62681",0,NA,NA,NA,NA,NA
"NPIL_62691",0.714265577352074,3.16384889895011,4.86764989580518,0.649974621567716,0.515708614811257,NA
"NPIL_62701",0,NA,NA,NA,NA,NA
"NPIL_237661",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_32631",13.3271849504173,-1.26387105931026,2.05237893529866,-0.615807849892177,0.538021345874923,NA
"NPIL_398791",0,NA,NA,NA,NA,NA
"NPIL_398801",6.26466278278169,-0.126319687060877,2.63025763444706,-0.0480255946818806,0.961695844531637,NA
"NPIL_398811",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_398821",1.24996476036613,3.95581505713653,4.83299286918238,0.818502150574402,0.413070514543676,NA
"NPIL_398842",2.37995642592906,2.17275210206793,3.79840197216685,0.572017421533839,0.567310172066821,NA
"NPIL_398841",0,NA,NA,NA,NA,NA
"NPIL_398861",15.3182411971874,0.615782410358297,2.34934871658026,0.262107709261075,0.7932384033776,NA
"NPIL_398871",18.7377498989469,0.541609093119975,2.37682149877555,0.22787116886943,0.819746397006925,NA
"NPIL_398881",0.423600700837455,-2.12972564784323,4.89721398630784,-0.434885151802178,0.663645792755256,NA
"NPIL_398891",0,NA,NA,NA,NA,NA
"NPIL_398901",0.780733489513492,-0.166238396937334,4.8380418146675,-0.0343606779985549,0.972589539354021,NA
"NPIL_398921",0,NA,NA,NA,NA,NA
"NPIL_398931",0,NA,NA,NA,NA,NA
"NPIL_398912",0,NA,NA,NA,NA,NA
"NPIL_398941",0,NA,NA,NA,NA,NA
"NPIL_398961",0,NA,NA,NA,NA,NA
"NPIL_398991",0.467292435429179,-2.25845814124671,4.88771588055021,-0.462068212727717,0.644032404569973,NA
"NPIL_399001",1.23756814643166,-2.14481933398887,4.69854047799396,-0.456486294847161,0.648040323949006,NA
"NPIL_399011",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_399021",15.4397782217686,1.28284070687052,1.95169638065457,0.657295222549052,0.51099110778053,NA
"NPIL_399031",0,NA,NA,NA,NA,NA
"NPIL_399041",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_399051",9.80813081016727,0.553125956498676,2.0463780368219,0.270295100194538,0.786933234599077,NA
"NPIL_399061",0,NA,NA,NA,NA,NA
"NPIL_399071",3.43451439159062,1.44813884025307,3.36449329437327,0.430418108627208,0.666891524950327,NA
"NPIL_399081",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_399091",2.33933132284319,-1.66050610026447,3.35854918993545,-0.49441172552735,0.621015434699898,NA
"NPIL_399101",0,NA,NA,NA,NA,NA
"NPIL_399111",0,NA,NA,NA,NA,NA
"NPIL_399121",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_399131",0.892831971690092,3.47876825750255,4.85162585586234,0.717031436646967,0.473354699489208,NA
"NPIL_151951",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_151971",0,NA,NA,NA,NA,NA
"NPIL_151981",0.714265577352074,3.16384889895011,4.86764989580518,0.649974621567716,0.515708614811257,NA
