"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_80727",0,0,61.0447065942557,0
"NPIL_80728",0,0,0,0
"NPIL_80729",0,0,0,0
"NPIL_80735",0,0,0,0
"NPIL_80734",0,0,0,0
"NPIL_80730",0,0,0,0
"NPIL_80731",0,0,0,0
"NPIL_80732",0,0,61.8925497413981,0
"NPIL_80733",0,0,20.6308499137994,0
"NPIL_80736",0,0,0,0
"NPIL_80246",0,0,0,0
"NPIL_80737",0,0,0,0
"NPIL_80738",0,0,0,0
"NPIL_80739",0,0,40.6964710628371,0
"NPIL_80740",0,0,61.0447065942557,41.7611158015518
"NPIL_80741",0,0,0,0
"NPIL_80743",0,28.4855846682003,81.3929421256743,0
"NPIL_80742",0,0,0,0
"NPIL_80744",81.7964751218532,50.7182361165518,72.4595704289539,37.1775787013815
"NPIL_80747",109.304326755425,0,257.473006924216,0
"NPIL_80745",20.4179937899299,0,20.3482355314186,0
"NPIL_80746",0,0,20.3482355314186,0
"NPIL_80748",0,0,0,0
"NPIL_80749",0,0,0,0
"NPIL_80136",0,0,18.3385332567106,0
"NPIL_80750",0,0,0,0
"NPIL_80751",0,0,20.6308499137994,0
"NPIL_80753",0,0,20.6308499137994,0
"NPIL_80752",0,0,0,0
"NPIL_80756",0,0,0,0
"NPIL_80755",0,0,0,0
"NPIL_80754",0,0,0,0
"NPIL_80757",0,0,0,0
"NPIL_80758",0,0,40.6964710628371,0
"NPIL_80759",0,0,0,0
"NPIL_80217",0,0,0,0
"NPIL_80255",0,0,0,13.4892099712977
"NPIL_80760",0,0,0,0
"NPIL_80761",0,0,0,0
"NPIL_80762",0,0,20.0732593755886,0
"NPIL_80763",0,0,0,0
"NPIL_80764",0,0,21.8444293204935,0
"NPIL_80282",0,3.77737998324909,0,5.53780463853458
"NPIL_80765",0,0,0,0
"NPIL_80766",0,0,0,0
"NPIL_80767",0,0,907.757396207173,0
"NPIL_80768",0,337.207732018155,883.223412525898,0
"NPIL_80769",0,0,281.02563125824,0
"NPIL_80770",0,0,0,0
"NPIL_80771",0,0,0,0
"NPIL_80772",0,0,40.1465187511772,0
"NPIL_80773",0,0,220.805853131474,0
"NPIL_80777",0,0,0,0
"NPIL_80776",0,0,0,0
"NPIL_80774",0,28.1006443348463,100.366296877943,0
"NPIL_80775",0,28.1006443348463,461.684965638537,0
"NPIL_80778",0,0,0,0
"NPIL_80779",0,0,0,0
"NPIL_80780",0,0,0,0
"NPIL_80782",0,0,0,0
"NPIL_80781",0,0,0,0
"NPIL_80783",0,0,0,0
"NPIL_80784",0,0,0,0
"NPIL_80785",0,0,0,0
"NPIL_80786",20.9931485445758,0,0,42.9374852607505
"NPIL_80787",20.9931485445758,0,0,0
"NPIL_80788",0,0,0,0
"NPIL_80789",0,0,0,0
"NPIL_80790",0,0,40.6964710628371,0
"NPIL_80791",0,0,0,0
"NPIL_80792",0,0,17.6835856403995,0
"NPIL_80273",0,63.9830055624192,0,0
"NPIL_80793",0,0,0,0
"NPIL_80795",0,0,0,0
"NPIL_80794",0,0,0,0
"NPIL_80796",0,56.9711693364007,122.089413188511,0
"NPIL_80797",0,0,15.8023531254634,0
"NPIL_80798",0,0,0,0
"NPIL_80799",0,0,0,0
"NPIL_80800",0,0,0,0
"NPIL_80801",0,0,0,0
"NPIL_80802",0,0,0,0
"NPIL_80803",0,0,0,0
"NPIL_80804",0,0,0,0
"NPIL_80805",0,0,0,0
"NPIL_80806",0,0,0,0
"NPIL_80807",0,0,36.229785214477,0
"NPIL_80808",0,0,0,0
"NPIL_80169",0,53.319171302016,38.0877229177835,0
"NPIL_80809",0,0,0,0
"NPIL_80810",0,0,0,0
