"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_225981",8.59511551339829,8.08178737429883,7.97199758240766,10.5226874637403
"NPIL_225991",5.32259110754676,4.73648554505823,3.70908646241394,6.35253027710475
"NPIL_226001",3.02480307694909,2.9745016938912,2.21072540379482,1.08030052915567
"NPIL_226011",9.17770944561118,8.3757677152813,6.38466597223729,9.0480662480251
"NPIL_226021",0,0,0,0
"NPIL_226031",6.20725239974021,7.15553504842372,7.65498216141723,6.37383434176866
"NPIL_226041",4.64945050682886,5.35931187238201,5.74619841017437,5.237702173533
"NPIL_226051",6.8328151351004,6.07327022171858,6.20878825176951,6.83445327280315
"NPIL_226061",7.25091981140351,7.96583825718284,6.9130671608373,8.6331387320806
"NPIL_226071",5.61462336797511,6.81395046207419,6.48714436177496,5.73170897229866
"NPIL_226082",0,0,0,0
"NPIL_226081",0,0,0,0
"NPIL_226091",3.78182153007108,3.3404498294524,3.44689539066383,3.34572324342274
"NPIL_226101",5.21640065762442,6.397004174709,6.82019114823683,3.75556419522727
"NPIL_226111",8.48945249961103,7.13922738853883,7.03700557625977,7.65094952338863
"NPIL_226121",6.57087101200443,7.94470556645188,7.46669895286498,7.78681473269372
"NPIL_226131",5.67844589239494,10.3981003948571,7.13568640707837,5.43046293463714
"NPIL_226141",7.54443024120097,7.58244537952888,7.77287233716855,7.43408009236796
"NPIL_226151",4.31249380407647,4.97161546848633,5.55051404296598,4.12390560862955
"NPIL_226161",0,0,0,0
"NPIL_226171",5.45556688481441,6.65395874256659,3.61232035049775,3.24180259382629
"NPIL_226181",9.24951794723268,10.2955909374233,5.90742577036998,6.4790868865851
"NPIL_226191",0,0,0,0
"NPIL_226201",7.15884517126703,7.33581525416282,6.09044283760427,6.34662521976295
"NPIL_226211",-0.980401163779995,-0.968568345747243,1.07740015680934,-0.800596529251904
"NPIL_226221",-0.47163033683976,0.169506409320246,1.90824171489217,-0.362806156826567
"NPIL_226231",0.282100511451463,-0.137588610410579,0.866171891209479,0.905824679402708
"NPIL_226241",9.77671851222332,4.80097297604522,4.70110009394633,8.10609205927811
"NPIL_226251",8.45725055278063,7.43794257465236,7.48528396710639,10.8496804242257
"NPIL_226261",3.11069073531766,4.58277617010867,3.36455584437367,1.53453400953046
"NPIL_226271",-0.218945374173928,1.37737156277587,0.895212800428318,-0.14348153935225
"NPIL_226281",1.17107159653756,2.1666241690416,1.85504336252223,0.536857084268921
"NPIL_226291",12.2099041238385,11.7544450350128,8.03877819575018,8.43299483958916
"NPIL_226301",-1.47475253003422,-1.45915840093332,-0.99037141238148,-1.37725240975461
"NPIL_226311",-1.09494687354034,-1.08770678547736,0.400872629789791,-0.924545885951075
"NPIL_562701",7.37911884127235,6.68156855979284,5.8453924409042,9.16100161562351
"NPIL_562711",5.88697745914526,6.18453718364629,5.80402598843859,6.34031469829728
"NPIL_562721",0,0,0,0
"NPIL_562722",0,0,0,0
"NPIL_562731",0,0,0,0
"NPIL_562741",7.95475980362056,8.26643349178848,8.30350216509015,7.35965647412862
"NPIL_562751",-1.31886638043297,-1.29803662341174,-0.529733724309694,-1.1886312257909
"NPIL_562761",-1.31886638043297,-1.29803662341174,-0.529733724309694,-1.1886312257909
"NPIL_562771",-1.11358758160432,-1.09652584099237,-1.14218070152347,1.33545043690491
"NPIL_562781",0,0,0,0
"NPIL_562791",1.23344053549038,1.06024492232185,1.96872659912145,0.364157109410236
"NPIL_81584",0,0,0,0
"NPIL_81583",-1.43425685298293,-0.750369590688107,-1.46505576358786,-1.31567786080033
"NPIL_81582",0,0,0,0
"NPIL_562801",-1.47475253003422,-1.45915840093332,-0.99037141238148,-1.37725240975461
"NPIL_562811",-1.31886638043297,-1.29803662341174,-0.529733724309694,-1.1886312257909
"NPIL_562821",-1.47475253003422,-1.45915840093332,-0.99037141238148,-1.37725240975461
"NPIL_562831",0,0,0,0
"NPIL_562841",5.85894665874581,7.40962748775534,7.80192962545752,5.69730651227716
"NPIL_81580",0,0,0,0
"NPIL_81581_1",0,0,0,0
"NPIL_562851",0,0,0,0
"NPIL_562861",-0.011045713996181,1.29623845517591,3.03211772595181,0.137818644328027
"NPIL_562871",0.290250067632181,1.09701681417604,2.10051082225677,1.39969590701684
"NPIL_562881",8.94109959728358,7.2750790456414,7.1578517499897,8.05538495757335
"NPIL_562891",-1.09494687354034,-1.08770678547736,0.400872629789791,-0.924545885951075
"NPIL_562901",-1.23080818302674,-1.20732209537698,-0.170545586031966,-1.07584548770134
"NPIL_562911",1.97657264822905,0.848821171346923,2.68863093951088,3.21473106527228
"NPIL_562921",6.53089135621333,5.9930615373609,5.60200098787,7.18473601403177
"NPIL_562931",6.45357230286626,6.24887803809741,6.41503561951332,6.1666274311942
"NPIL_562941",-0.0567944377902933,1.29037941855336,1.89076639498583,0.0399673219015053
"NPIL_562951",-1.82285806913077,-1.81396776303871,-1.65718446355269,-1.76727266851686
"NPIL_562961",0,0,0,0
"NPIL_562971",10.6674117618344,10.1582988053325,7.60832329967973,10.0283378445559
"NPIL_435971",-1.29668476466744,-1.26388008072331,-1.32346195683249,0.36770347162833
"NPIL_516141",0,0,0,0
