Pathway_ID,Pathway_Name,Gene_Count
ko00350,Pathway (ko00350),35
map05130,Pathway (map05130),35
ko05130,Pathway (ko05130),35
ko05212,Pathway (ko05212),34
map05212,Pathway (map05212),34
map03430,Pathway (map03430),34
ko03430,Pathway (ko03430),34
ko05416,Pathway (ko05416),34
map05416,Pathway (map05416),34
ko04658,Pathway (ko04658),33
map04658,Pathway (map04658),33
ko00250,Pathway (ko00250),33
map00250,Pathway (map00250),33
ko03022,Pathway (ko03022),33
map03022,Pathway (map03022),33
map02020,Pathway (map02020),33
ko02020,Pathway (ko02020),33
map00380,Pathway (map00380),33
ko00380,Pathway (ko00380),33
ko00513,Pathway (ko00513),33
map00513,Pathway (map00513),33
ko05033,Pathway (ko05033),33
map05033,Pathway (map05033),33
ko04930,Pathway (ko04930),32
map04930,Pathway (map04930),32
map04978,Pathway (map04978),32
ko04978,Pathway (ko04978),32
map04514,Pathway (map04514),32
ko04514,Pathway (ko04514),32
ko04664,Pathway (ko04664),31
map04664,Pathway (map04664),31
map05162,Pathway (map05162),31
ko05162,Pathway (ko05162),31
map04136,Pathway (map04136),31
ko04136,Pathway (ko04136),31
map04960,Pathway (map04960),31
ko04960,Pathway (ko04960),31
ko03320,Pathway (ko03320),31
map03320,Pathway (map03320),31
map00640,Pathway (map00640),30
ko00640,Pathway (ko00640),30
ko05214,Pathway (ko05214),30
map05214,Pathway (map05214),30
map04742,Pathway (map04742),30
ko04742,Pathway (ko04742),30
ko04659,Pathway (ko04659),29
map04659,Pathway (map04659),29
ko00062,Pathway (ko00062),29
map00062,Pathway (map00062),29
map03050,Pathway (map03050),29
ko03050,Pathway (ko03050),29
ko04964,Pathway (ko04964),29
map04964,Pathway (map04964),29
map05134,Pathway (map05134),29
ko05134,Pathway (ko05134),29
ko00051,Pathway (ko00051),28
map00051,Pathway (map00051),28
map00510,Pathway (map00510),28
ko00510,Pathway (ko00510),28
map04320,Pathway (map04320),28
ko04320,Pathway (ko04320),28
ko04657,Pathway (ko04657),27
map04657,Pathway (map04657),27
map00600,Pathway (map00600),27
ko00600,Pathway (ko00600),27
map04392,Pathway (map04392),27
ko04392,Pathway (ko04392),27
ko00030,Pathway (ko00030),27
map00030,Pathway (map00030),27
ko00830,Pathway (ko00830),27
map00830,Pathway (map00830),27
map05223,Pathway (map05223),26
ko05223,Pathway (ko05223),26
ko00900,Pathway (ko00900),26
map00900,Pathway (map00900),26
map04216,Pathway (map04216),26
ko04216,Pathway (ko04216),26
map04622,Pathway (map04622),25
ko04622,Pathway (ko04622),25
ko04064,NF-kappa B signaling pathway,25
map04064,NF-kappa B signaling pathway,25
map00770,Pathway (map00770),25
ko00770,Pathway (ko00770),25
map04139,Pathway (map04139),24
ko04139,Pathway (ko04139),24
map04630,Pathway (map04630),24
ko04630,Pathway (ko04630),24
map01523,Pathway (map01523),24
ko01523,Pathway (ko01523),24
map04115,Pathway (map04115),24
ko04115,Pathway (ko04115),24
map05217,Pathway (map05217),23
ko05217,Pathway (ko05217),23
ko00565,Pathway (ko00565),23
map00565,Pathway (map00565),23
map00730,Pathway (map00730),23
ko00730,Pathway (ko00730),23
ko05218,Pathway (ko05218),23
map05218,Pathway (map05218),23
ko04650,Pathway (ko04650),23
map04650,Pathway (map04650),23
ko00410,Pathway (ko00410),23
map00410,Pathway (map00410),23
