Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_340181,BMAW01042654.1,Unknown,hypothetical protein,76,51,65,20,53.0,24.26245384677046,1.2527156824592696,0.01617856757246425,-0.07525334644259442,-1.1936409035891409
NPIL_244431,BMAW01042655.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_244441,BMAW01042655.1,mew,integrin alpha-PS1,16,77,140,8,60.25,61.451200151014135,-0.8238221660080371,0.5144965170074267,1.1568527252217773,-0.8475270762211672
NPIL_580421,BMAW01042663.1,Unknown,hypothetical protein,0,0,4,2,1.5,1.9148542155126762,-0.8642290542917296,-0.8642290542917296,0.7853856434316886,0.9430724651517707
NPIL_185521,BMAW01042669.1,AVEN_5195_1,FTP domain-containing protein,0,0,4,1,1.25,1.8929694486000912,-0.8003959667951257,-0.8003959667951257,1.2680845305597233,0.33270740303052837
NPIL_26281,BMAW01042671.1,AVEN_124346_1,uncharacterized protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_26291,BMAW01042671.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_26301,BMAW01042671.1,Unknown,hypothetical protein,0,0,7,0,1.75,3.5,-0.5,-0.5,1.5,-0.5
NPIL_26311,BMAW01042671.1,inx-11,innexin-11,0,4,46,2,13.0,22.06052281036573,-0.6461041711527448,-0.40289476228580673,1.4914601250100046,-0.4424611915714529
NPIL_26321,BMAW01042671.1,Unknown,hypothetical protein,0,0,15,2,4.25,7.22841614740048,-0.6846173163822535,-0.6846173163822535,1.43468282033449,-0.06544818756998291
NPIL_26331,BMAW01042671.1,Unknown,hypothetical protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_26341,BMAW01042671.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_26351,BMAW01042671.1,Unknown,hypothetical protein,0,1,7,0,2.0,3.366501646120693,-0.6220052000354812,-0.23017967559752467,1.4741900756684874,-0.6220052000354812
NPIL_26361,BMAW01042671.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_26371,BMAW01042671.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_26381,BMAW01042671.1,POL_663,retrovirus-related Pol polyprotein from transposon 412,0,0,1,0,0.25,0.5,-0.5,-0.5,1.5,-0.5
NPIL_31,BMAW01042672.1,RyR,ryanodine receptor,0,0,1,0,0.25,0.5,-0.4999999999999999,-0.4999999999999999,1.4999999999999998,-0.4999999999999999
NPIL_672441,BMAW01042679.1;BMAW01042679.1,trabd2b,metalloprotease TIKI2,43,72,121,9,61.25,47.42977264686532,-0.4554076658156714,0.5053415324509336,1.101085263069794,-1.1510191297050567
NPIL_80272,BMAW01042679.1,Unknown,5S ribosomal RNA,0,0,4,0,1.0,2.0,-0.5,-0.5,1.5,-0.5
NPIL_688381,BMAW01042681.1,NCL1_27094,uncharacterized protein,13,17,120,4,38.5,54.604639607515644,-0.4983260117093518,-0.3684663168245084,1.4917532139002418,-0.6249608853663814
NPIL_688391,BMAW01042681.1,Unknown,hypothetical protein,2,0,24,0,6.5,11.704699910719626,-0.3620421533178974,-0.5655206584397476,1.4930834701973927,-0.5655206584397476
NPIL_688401,BMAW01042681.1,Unknown,hypothetical protein,0,0,20,2,5.5,9.71253485622231,-0.6418423490239983,-0.6418423490239983,1.4640812425328809,-0.18039654448488415
NPIL_688411,BMAW01042681.1,Unknown,hypothetical protein,2,741,1001,7,437.75,511.4146230473535,-0.8772594676602611,0.8378912849607878,0.8936346317359373,-0.8542664490364645
NPIL_688421,BMAW01042681.1,Unknown,hypothetical protein,0,83,217,9,77.25,100.31409007047148,-0.8711770178607735,0.224742626557434,1.3186072308211545,-0.6721728395178147
NPIL_688431,BMAW01042681.1,Unknown,hypothetical protein,0,22,36,0,14.5,17.69180601295413,-0.8554832265636296,0.6649657781853685,1.0460006749418904,-0.8554832265636296
NPIL_688441,BMAW01042681.1,Unknown,hypothetical protein,0,7,53,5,16.25,24.67623688220444,-0.7732322772655169,-0.38577840329928736,1.4687842588762792,-0.3097735783114746
NPIL_688451,BMAW01042681.1,AVEN_236479_1,uncharacterized protein,0,0,9,0,2.25,4.5,-0.5,-0.5,1.4999999999999998,-0.5
NPIL_118121,BMAW01042682.1,Unknown,hypothetical protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_585771,BMAW01042692.1,X975_00849,cytochrome P450 3A13,0,0,1,0,0.25,0.5,-0.5,-0.5,1.5,-0.5
NPIL_40931,BMAW01042694.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_243721,BMAW01042696.1,FASN,fatty acid synthase,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_184411,BMAW01042717.1,Unknown,hypothetical protein,0,0,6,0,1.5,3.0,-0.49999999999999994,-0.49999999999999994,1.5,-0.49999999999999994
NPIL_577001,BMAW01042720.1,NCL1_10634,adult-specific rigid cuticular protein 15.7,0,38,0,0,9.5,19.0,-0.5000000000000001,1.5000000000000002,-0.5000000000000001,-0.5000000000000001
NPIL_577011,BMAW01042720.1,Unknown,adult-specific rigid cuticular protein 15.7,0,1,2,0,0.75,0.9574271077563381,-0.8305000589114241,0.48331235132913863,1.1776877664937093,-0.8305000589114241
NPIL_577021,BMAW01042720.1,AVEN_116101_1,uncharacterized protein,2,0,5,0,1.75,2.362907813126304,0.22203589104973667,-0.7733291009418001,1.3246223108338635,-0.7733291009418001
NPIL_577031,BMAW01042720.1,NCL1_34174,adult-specific rigid cuticular protein 15.7,2,147,0,0,37.25,73.17274082607538,-0.48345471408575236,1.499897764029026,-0.5082215249716369,-0.5082215249716369
NPIL_577041,BMAW01042720.1,SUCLG1,hypothetical protein,1618,1390,104,1167,1069.75,669.6438730151025,0.3043486673797833,0.20869349174751078,-1.4253266208418751,0.9122844617145812
NPIL_577051,BMAW01042720.1,NCL1_36130,zinc finger protein,74,8,4,24,27.5,32.18177538089946,1.2527241296469904,-0.7210024055257214,-0.8861324921853189,0.35441076806404975
NPIL_577061,BMAW01042720.1,NCL1_42379,adult-specific rigid cuticular protein 15.7,2,15,4,0,5.25,6.701989754294367,-0.4635513031912478,1.4742621842056793,-0.2807413725703301,-0.729969508444101
NPIL_577071,BMAW01042720.1,Unknown,hypothetical protein,0,0,10,0,2.5,5.0,-0.5,-0.5,1.5,-0.5
NPIL_434721,BMAW01042729.1,Unknown,hypothetical protein,0,73,45,1,29.75,35.65926714520832,-0.7936793140974385,1.3312146314652575,0.20739861618117233,-0.7449339335489916
NPIL_434731,BMAW01042729.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
